A	-1.525735	1.67408	
A	6.069158	5.152899	
A	-4.146633	1.081567	
A	-4.994697	2.974933	
A	-0.837513	-1.655131	
A	4.993868	5.231333	
A	5.337295	3.65081	
A	-4.070525	2.024777	
A	4.220618	3.88215	
A	-2.737036	-4.872351	
A	5.273966	0.495565	
A	5.056881	1.194808	
A	-4.684017	1.104975	
A	3.630935	1.433834	
A	-2.185886	-2.081777	
A	-3.365111	-0.169107	
A	-4.325179	3.413589	
A	1.940409	5.095783	
A	5.048443	3.949618	
A	4.271519	-1.104565	
A	4.962547	-0.460126	
A	6.809371	-0.450855	
A	5.69157	-2.421567	
A	4.446387	1.692774	
A	-2.935608	-4.647931	
A	3.971036	6.391197	
A	5.705124	1.563905	
A	3.526251	5.125679	
A	-1.482916	-2.278128	
A	-3.713925	0.646251	
A	-2.757847	-0.008073	
A	3.672294	0.054856	
A	-0.968404	-1.352061	
A	-2.643946	-1.087158	
A	6.352239	-2.638754	
A	-1.726299	2.018557	
A	-1.921184	-0.399836	
A	-1.663443	-0.958986	
A	-3.174283	-2.524343	
A	2.57272	3.309498	
A	3.652733	5.615746	
A	6.116004	3.861596	
A	-3.256511	2.093999	
A	8.057396	-2.227708	
A	-3.291349	-0.392001	
A	-2.873908	-0.797512	
A	6.017664	4.99393	
A	4.82832	3.958851	
A	4.427478	6.94144	
A	-2.042019	-4.838531	
A	4.431985	4.190834	
A	-1.293406	-4.050642	
A	5.13705	5.745644	
A	4.481172	-1.015818	
A	-5.34393	2.38509	
A	-0.371486	-2.263986	
A	6.563596	-0.740561	
A	-2.361829	0.127551	
A	-2.794272	-1.043894	
A	-1.694308	0.816211	
A	-4.782809	2.65008	
A	-3.527407	-4.757469	
A	5.404914	-1.154843	
A	-1.974044	0.767279	
A	4.390848	2.057476	
A	2.351391	3.787505	
A	-5.159769	4.461072	
A	-4.231043	0.41665	
A	4.123282	6.10074	
A	4.298416	0.653153	
A	-3.051873	2.517304	
A	2.152186	5.638664	
A	-4.040448	1.921556	
A	7.0819	1.354236	
A	5.5061	1.427325	
A	-4.115778	4.622738	
A	4.260783	6.272074	
A	4.641614	3.785443	
A	-2.95804	3.775665	
A	-3.041649	-3.171339	
A	6.046129	0.997202	
A	6.22963	-2.849405	
A	6.03722	2.214485	
A	5.388342	6.290064	
A	-3.466219	0.040091	
A	-1.974758	-0.323457	
A	-5.708847	2.465111	
A	-1.746017	-1.379488	
A	2.667056	4.755727	
A	4.751338	-2.450105	
A	6.232137	2.257412	
A	4.633483	4.528087	
A	-1.743096	-0.899578	
A	4.375898	0.005549	
A	-5.048593	1.786572	
A	4.887608	5.029907	
A	5.764373	-2.867734	
A	2.947215	2.144312	
A	-2.109552	3.06637	
A	-0.896231	-3.381622	
A	-5.163064	0.417968	
A	7.372124	0.741365	
A	-3.635488	1.90337	
A	-2.809615	0.006269	
A	-3.937318	-3.528527	
A	-2.635674	3.088936	
A	-1.682247	-2.868899	
A	7.109769	1.596423	
A	-2.819221	-1.033951	
A	-1.619993	-0.074248	
A	7.417405	-2.056156	
A	3.795895	5.064028	
A	7.286613	1.01088	
A	-0.703406	-3.109021	
A	-4.407078	2.553068	
A	2.45441	5.879732	
A	4.876237	5.434384	
A	4.518562	5.435643	
A	6.393914	-1.134246	
A	3.185336	1.661398	
A	-4.155146	4.349217	
A	5.603468	0.338985	
A	6.096733	0.740371	
A	-4.665949	3.347262	
A	4.244135	4.74935	
A	-1.301661	-4.008289	
A	2.927757	2.432298	
A	-4.708256	4.249597	
A	-2.976314	0.897763	
A	-1.123345	-4.108904	
A	-3.259222	2.579396	
A	-5.116929	3.885108	
A	-2.6678	-0.124654	
A	4.362369	-0.154163	
A	-4.185295	3.42729	
A	4.763776	1.937362	
A	2.995919	2.730053	
A	-2.65159	1.707797	
A	-2.674659	5.304735	
A	-1.023431	-0.576634	
A	-3.77519	2.44795	
A	7.094106	0.310857	
A	-2.652696	2.58106	
A	3.427968	2.14876	
A	-3.534742	2.035299	
A	2.762111	5.489194	
A	-3.70681	-3.107487	
A	7.371492	-1.279364	
